code,name
1,Kundenprojekt
2,Agenturprojekt
3,Flottenprojekt
4,DVP-Flottenprojekt
5,Lagerfahrzeugvarianten konfigurieren
6,DVP-Lagerfahrzeugvarianten konfigurieren
7,Händlerverkaufsprojekt
