code,locale,name
01,de,Händler
01,en,Dealer
01,fr,Concessionnaire
01,it,Concessionario
05,de,Importeur
05,fr,Importateur
05,it,Importatore
10,de,AMAG Leasing
10,fr,AMAG Leasing
10,it,AMAG Leasing
15,de,Mitarbeiter
15,fr,Collaborateur
15,it,Collaboratori
20,de,Behörde
20,fr,Fonctionnaire
20,it,Autorità
25,de,Versicherung
25,fr,Assurance
25,it,Assicurazione
30,de,Europcar
30,fr,Europcar
30,it,Europcar
35,de,CRH / AZV
35,fr,CRH
35,it,CRH
