code,locale,name
0,de,Selbstabholer
0,fr,Vient chercher véhicule
0,it,il veicolo viene ritirato
1,de,Fahrzeug liefern
1,fr,Livrer véhicule
1,it,fornire il veicolo
2,de,Nicht liefern - Blockiert
2,fr,Ne pas livrer - bloqué
2,it,Non consegnare - bloccato
9,de,Gemäss separater Info
9,fr,Selon informations séparées
9,it,Secondo informazioni separate
A,de,Aufbauer
N,de,Nicht liefern
N,fr,Ne pas livrer
N,it,Non consegnare
