locale,code,name
en,offer-manage,Offers - Management
de,offer-manage,Angebote - Management
en,session-display,Sessions - Overview
de,session-display,Sitzungen - Übersicht
en,order-manage,Orders - Management
de,order-manage,Bestellungen - Management
